Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
30.4595	3861	3	0	2	0
30.4727	9317	2	1	0	0
30.4946	2975	3	1	1	0
30.5009	9463	1	1	0	0
30.5124	6859	14	3	2	1
30.5162	738	1	1	2	0
30.5201	4036	3	1	2	0
30.5236	1675	1	1	3	1
30.5245	7552	2	0	0	0
30.5316	1733	7	0	4	2
30.5326	6647	1	0	3	0
30.5394	7361	1	1	1	0
30.5433	4727	2	1	1	0
30.5575	963	9	3	4	1
30.5659	5618	3	2	0	0
30.5737	7130	2	0	2	0
30.5848	1411	5	1	0	0
30.6012	912	2	0	0	0
30.6146	9954	0	0	2	0
30.6239	3454	1	0	0	0
30.6275	9634	0	0	0	0
30.6403	4733	16	5	4	0
30.6544	2488	4	0	1	0
30.6594	2800	4	0	1	0
30.6819	204	0	0	0	0
30.6881	720	3	0	1	0
30.6916	5209	8	4	2	0
30.6976	172	2	0	1	0
30.7149	6454	2	1	6	1
30.7202	2335	1	0	0	0
30.7228	9803	4	2	2	2
30.7235	1159	1	0	2	1
30.7235	2816	1	0	1	0
30.74	9931	8	2	4	0
30.7423	2073	1	0	0	0
30.7453	502	7	0	1	0
30.749	5123	2	2	0	0
30.7542	8673	6	3	0	0
30.7834	3417	2	0	0	0
30.7912	5672	0	0	0	0
30.798	1509	2	1	0	0
30.8017	8684	1	0	2	1
30.8027	6382	4	0	1	0
30.8159	4002	0	0	1	1
30.8165	9820	0	0	1	0
30.818	928	1	0	1	0
30.8257	7527	1	0	1	1
